                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.82141,                  0.548,                 1.0459,                0.96644,                0.94206,                0.97382,                0.80717,                0.66002,                0.48751,                 1.0186,               0.006634,               0.006634,               0.006634
                     36,                0.78819,                0.53807,                  1.041,                0.98092,                0.94969,                0.97818,                0.83076,                0.59157,                0.43683,                0.98137,               0.006535,               0.006535,               0.006535
                     37,                0.80674,                0.53044,                 1.0532,                0.98216,                0.94325,                0.97525,                0.81233,                0.65815,                0.45149,                0.99742,               0.006436,               0.006436,               0.006436
                     38,                 0.7852,                0.50898,                 1.0231,                0.98402,                0.94811,                0.97937,                0.81004,                0.67092,                0.44355,                 1.0086,               0.006337,               0.006337,               0.006337
                     39,                 0.7733,                0.50424,                 1.0291,                 0.9762,                0.94718,                0.97838,                0.83336,                0.58962,                0.43108,                0.96418,               0.006238,               0.006238,               0.006238
                     40,                0.75649,                0.51264,                  1.031,                0.97803,                0.95103,                0.97845,                0.83734,                0.56783,                0.43164,                0.95894,               0.006139,               0.006139,               0.006139
                     41,                0.75055,                0.50758,                 1.0241,                0.98223,                  0.954,                0.98075,                0.83534,                0.58511,                0.42617,                0.96996,                0.00604,                0.00604,                0.00604
                     42,                0.75503,                0.50721,                 1.0131,                0.97891,                0.95189,                0.97953,                0.84833,                0.53519,                0.42241,                0.94819,               0.005941,               0.005941,               0.005941
                     43,                0.73317,                0.50802,                 1.0084,                0.97969,                0.94711,                0.97705,                0.83204,                0.58852,                 0.4334,                0.97079,               0.005842,               0.005842,               0.005842
                     44,                 0.7346,                0.50564,                 1.0122,                0.98346,                0.94984,                0.97939,                0.83617,                0.59004,                0.41811,                0.96568,               0.005743,               0.005743,               0.005743
                     45,                0.72681,                0.50182,                 1.0063,                0.98304,                0.94832,                 0.9786,                0.84371,                0.54963,                0.40894,                0.95327,               0.005644,               0.005644,               0.005644
                     46,                0.74787,                0.50225,                 1.0278,                 0.9788,                0.95089,                0.97925,                0.85215,                0.53012,                0.40572,                0.94611,               0.005545,               0.005545,               0.005545
                     47,                0.72718,                0.48649,                 1.0156,                0.98104,                0.95579,                0.98006,                0.85021,                0.54697,                0.40139,                0.94276,               0.005446,               0.005446,               0.005446
                     48,                0.71565,                0.48169,                0.99896,                0.97873,                0.95458,                 0.9803,                0.85127,                 0.5389,                0.40436,                0.93863,               0.005347,               0.005347,               0.005347
                     49,                0.70274,                0.46745,                0.99961,                0.98043,                0.95441,                0.97918,                0.85837,                0.51656,                0.38485,                0.93442,               0.005248,               0.005248,               0.005248
                     50,                0.71178,                0.47432,                0.99723,                 0.9839,                0.95237,                0.97916,                0.85535,                0.52099,                0.39365,                0.93856,               0.005149,               0.005149,               0.005149
                     51,                0.70016,                0.47407,                 1.0043,                0.98348,                0.95124,                0.98102,                0.86777,                0.48488,                0.37333,                0.92314,                0.00505,                0.00505,                0.00505
